BLOTO	Baseline Ori Transcripts of Omnipotence	Samantha Carter	7/27/1997	3/13/2007	1003	365	1825	null	null
BLOTO	sample	1	DNA	DNA	null	0.98	RNAase	null	null
BLOTO	sample	1	Whole Blood	Whole Blood	Phlebotomy	1	null	null	null
BLOTO	sample	1	Buffy Coat	Buffy Coat	null	1	DNAase	null	null
BLOTO	sample	2	Whole Blood	Whole Blood	Phlebotomy	0.01	null	null	null
SNAKES	Biomarkers of Herpetophobia	Samantha Carter	7/27/1997	3/13/2007	500	45	5	Herpetophobia[F40.218]|control	0.5|0.5
SNAKES	sample	1	Whole Blood	Whole Blood	Phlebotomy	1	null	null	null
SNAKES	sample	1	Urine	Urine	Urine Collection	1	Sodium Azide | Protease Inhibitor	null	null
SNAKES	sample	2	Urine	Urine	Urine Collection	0.98	Sodium Azide | Protease Inhibitor	null	null
SNAKES	sample	3	Urine	Urine	Urine Collection	0.98	Sodium Azide | Protease Inhibitor	null	null
SNAKES	sample	4	Urine	Urine	Urine Collection	1	Sodium Azide | Protease Inhibitor	null	null
SNAKES	sample	4	Whole Blood	Whole Blood	Phlebotomy	1	null	null	null
Icarus	Icarus Project P4X-351	Nicholas Rush	10/2/2009	5/9/2010	200	120	10	null	null
Icarus	sample	1	Bone Marrow	Bone Marrow	Trephine	1	null	null	null
Icarus	sample	2	Bone Marrow	Bone Marrow	Trephine	1	null	null	null
DHARMA	Dept Heuristics & Res on Material Apps	Karen DeGroot	9/22/2004	5/23/2010	324	90	5	Commercial fixed-wing aircraft crash injuring occupant, init[V95.31XA]	1
DHARMA	sample	1	Hair	Hair	Clipping	1	null	null	null
DHARMA	sample	1	Toenail	Toenail	Clipping	1	null	null	null
DHARMA	sample	2	Hair	Hair	Clipping	0.20	null	null	null
DHARMA	sample	2	Toenail	Toenail	Clipping	0.20	null	null	null
DHARMA	sample	3	Hair	Hair	Clipping	0.20	null	null	null
DHARMA	sample	3	Toenail	Toenail	Clipping	0.20	null	null	null
DHARMA	sample	4	Hair	Hair	Clipping	0.20	null	null	null
DHARMA	sample	4	Toenail	Toenail	Clipping	0.20	null	null	null
DHARMA	sample	5	Hair	Hair	Clipping	0.20	null	null	null
DHARMA	sample	5	Toenail	Toenail	Clipping	0.20	null	null	null
DHARMA	sample	6	Hair	Hair	Clipping	0.20	null	null	null
DHARMA	sample	6	Toenail	Toenail	Clipping	0.20	null	null	null
DHARMA	sample	7	Hair	Hair	Clipping	0.20	null	null	null
DHARMA	sample	7	Toenail	Toenail	Clipping	0.20	null	null	null
Xeno Path	Etiology of Xenomorphic Pathogenesis	Rodney McKay	7/16/2004	1/9/2009	3000	1	1	Retrovirus infections, not elsewhere classified[B33.3]	1
Xeno Path	sample	1	Tissue Portion	Tissue Portion	Surgical Resection	0.8	FFPE	Lymph Node	Lymph Node
Xeno Path	sample	1	Tissue Portion	Tissue Portion	Surgical Resection	0.2	FFPE	Spleen	Spleen
Xeno Path	sample	1	Tissue Portion	Tissue Portion	Surgical Resection	0.3	FFPE	Tonsils	Tonsils
Xeno Path	sample	1	Tissue Portion	Tissue Portion	Surgical Resection	0.05	FFPE	Thymus	Thymus
PAL	Peanut Allergy Biomarkers	Rodney McKay	7/16/2004	1/9/2009	300	1	1	Allergy to peanuts[Z91.010]|control	0.6|0.4
PAL	sample	1	Whole Blood	Whole Blood	Phlebotomy	1	DNAase	null	null
PAL	sample	1	mRNA	mRNA	null	0.98	DNAase	null	null
Batman	Chiropteran sapiens Contaminant Bioaccumulation	Sheldon Cooper	9/24/2007	1/10/2015	25	1	1	null	null
Batman	sample	1	Hair	Hair	Clipping	1	null	null	null
HERO	DC-Marvel Comparative Metabolomics	Sheldon Cooper	9/24/2007	1/10/2015	427	1	1	Genetic Disease[Z84.81]	1
DC Met	sample	1	Saliva	Saliva	null	0.95	null	null	null
DC Met	sample	1	Urine	Urine	Urine Collection	0.98	Sodium Azide / Protease Inhibitor	null	null
Miscreant Hematology	Miscreant Hematology	Dexter Morgan	10/1/2006	9/22/2013	130	1	1	null	null
Miscreant Hematology	sample	1	Blood Spot	Blood Spot	Needle Aspiration	1	null	null	null
DATA	DNA ATM Analysis	Leo Spacemen	10/11/2006	1/21/2013	1000	1	1	null	null
DATA	sample	1	DNA	DNA	null	0.05	RNAase	null	null
DATA	sample	1	Buccal Swab	Buccal Swab	Cheek Swab	1	null	null	null
EyeD	Eyebrow Dilation	Nick Riviera	1/17/1989	1/10/2015	522	1	1	null	null
EyeD	sample	1	Hair	Hair	Clipping	1	null	null	null
